planet_name,host_star,Number_of_stars,Number_of_planets,discovery_method,Discover_year,Discovery_facility,orbit_period_days,planet_radius_earth,planet_mass_earth,Planet_temperature,Orbital_shape,Distance_from_host_star,Host_star_temp,Host_star_radius,Host_star_mass,Host_star_age,Distance_from_earth,planet_type,habitable_zone_flag,multi_planet_system,Recent_discovery,Distance_category,star_type,Orbit_category
Kepler-1167 b,Kepler-1167,1,1,Transit,2016.0,Kepler,1.003933739,1.71,3.57,1419.0,0.0,0.0175,4971.0,0.75,0.79,4.27,820.905,Super-Earth,No,No,False,Far(500-2kpc),K-type,Short(1-10d)
Kepler-1740 b,Kepler-1740,1,1,Transit,2021.0,Kepler,8.172400475,3.32321414,11.0,858.0,0.0,0.0779,5705.0,0.905,0.943,3.98,1061.77,Mini-Neptune,No,No,True,Far(500-2kpc),G-type(Sun-like),Short(1-10d)
Kepler-1581 b,Kepler-1581,1,1,Transit,2016.0,Kepler,6.28385491,0.8,0.437,1108.0,0.0,0.06865,6022.0,1.23,1.12,4.17,493.175,Sub-Earth,No,No,False,Mid(100-500pc),F-type,Short(1-10d)
Kepler-644 b,Kepler-644,1,1,Transit,2016.0,Kepler,3.173917103,3.15,10.1,1655.0,0.0,0.04641,6747.0,1.81,1.49,1.62,1318.05,Mini-Neptune,No,No,False,Far(500-2kpc),F-type,Short(1-10d)
Kepler-1752 b,Kepler-1752,1,1,Transit,2021.0,Kepler,56.35850143,4.54060463,18.7,419.0,0.0,0.2698,5446.0,0.821,0.824,7.2,962.888,Neptune-like,No,No,True,Far(500-2kpc),G-type(Sun-like),Medium(10-100d)
Kepler-280 c,Kepler-280,1,2,Transit,2014.0,Kepler,4.807091,2.01,4.7,1088.0,0.0,0.056,5744.0,0.886,0.962,5.62,780.361,Mini-Neptune,No,Yes,False,Far(500-2kpc),G-type(Sun-like),Short(1-10d)
Kepler-1208 b,Kepler-1208,1,1,Transit,2016.0,Kepler,11.08507637,2.32,5.99,665.0,0.0,0.0901,5001.0,0.76,0.8,4.47,825.176,Mini-Neptune,No,No,False,Far(500-2kpc),K-type,Medium(10-100d)
Kepler-263 c,Kepler-263,1,2,Transit,2014.0,Kepler,47.332773,2.47,6.66,386.0,0.0,0.242,5265.0,0.785,0.793,2.24,754.747,Mini-Neptune,Yes,Yes,False,Far(500-2kpc),G-type(Sun-like),Medium(10-100d)
Kepler-1101 b,Kepler-1101,1,1,Transit,2016.0,Kepler,81.3151059,2.47,6.66,393.0,0.0,0.3483,5614.0,0.91,0.94,4.27,742.473,Mini-Neptune,Yes,No,False,Far(500-2kpc),G-type(Sun-like),Medium(10-100d)
HD 168746 b,HD 168746,1,1,Radial Velocity,2002.0,La Silla Observatory,6.404,11.1,85.8141,900.0,0.11,0.07,5570.0,1.09,1.07,8.0,41.5681,Gas Giant,No,No,False,Nearby(<100pc),G-type(Sun-like),Short(1-10d)
